Время[c],Напряжение[В]
0.0000,1.6242
0.0006,1.6191
0.0011,1.6242
0.0016,1.6242
0.0021,1.6191
0.0027,1.6242
0.0032,1.6242
0.0037,1.6242
0.0042,1.6292
0.0047,1.6242
0.0053,1.6242
0.0058,1.6242
0.0063,1.6242
0.0068,1.6242
0.0074,1.6242
0.0079,1.6242
0.0084,1.6242
0.0089,1.6242
0.0095,1.6242
0.0100,1.6242
0.0105,1.6242
0.0110,1.6242
0.0115,1.6191
0.0121,1.6191
0.0126,1.6242
0.0131,1.6242
0.0136,1.6242
0.0142,1.6242
0.0147,1.6242
0.0152,1.6242
0.0157,1.6191
0.0162,1.6242
0.0168,1.6242
0.0173,1.6242
0.0178,1.6242
0.0183,1.6242
0.0189,1.6191
0.0194,1.6242
0.0199,1.6191
0.0204,1.6242
0.0209,1.6242
0.0215,1.6242
0.0220,1.6242
0.0225,1.6242
0.0230,1.6242
0.0236,1.6242
0.0241,1.6191
0.0246,1.6242
0.0251,1.6191
0.0256,1.6242
0.0262,1.6191
0.0267,1.6242
0.0272,1.6242
0.0277,1.6242
0.0282,1.6191
0.0288,1.6242
0.0293,1.6292
0.0298,1.6242
0.0303,1.6191
0.0309,1.6191
0.0314,1.6292
0.0319,1.6242
0.0324,1.6141
0.0329,1.6242
0.0335,1.6191
0.0340,1.6191
0.0345,1.6191
0.0350,1.6191
0.0356,1.6191
0.0361,1.6141
0.0366,1.6242
0.0371,1.6242
0.0377,1.6242
0.0382,1.6242
0.0387,1.6242
0.0392,1.6191
0.0398,1.6242
0.0403,1.6191
0.0408,1.6242
0.0413,1.6242
0.0418,1.6242
0.0424,1.6191
0.0429,1.6292
0.0434,1.6242
0.0440,1.6191
0.0460,1.6242
0.0465,1.6242
0.0470,1.6191
0.0476,1.6242
0.0481,1.6242
0.0487,1.6242
0.0492,1.6242
0.0497,1.6191
0.0502,1.6242
0.0508,1.6242
0.0513,1.6242
0.0518,1.6191
0.0524,1.6191
0.0529,1.6191
0.0535,1.6242
0.0540,1.6242
0.0545,1.6191
0.0551,1.6242
0.0557,1.6242
0.0563,1.6242
0.0568,1.6242
0.0574,1.6242
0.0580,1.6191
0.0587,1.6191
0.0593,1.6141
0.0598,1.6191
0.0605,1.6242
0.0611,1.6191
0.0617,1.6242
0.0622,1.6191
0.0628,1.6292
0.0633,1.6191
0.0638,1.6191
0.0643,1.6242
0.0649,1.6242
0.0654,1.6242
0.0659,1.6242
0.0665,1.6242
0.0670,1.6191
0.0675,1.6191
0.0681,1.6141
0.0686,1.6242
0.0691,1.6242
0.0697,1.6242
0.0702,1.6242
0.0707,1.6242
0.0712,1.6191
0.0718,1.6242
0.0723,1.6242
0.0728,1.6242
0.0734,1.6191
0.0739,1.6242
0.0745,1.6191
0.0750,1.6191
0.0756,1.6242
0.0761,1.6191
0.0767,1.6191
0.0772,1.6242
0.0777,1.6191
0.0782,1.6191
0.0788,1.6191
0.0793,1.6242
0.0798,1.6191
0.0803,1.6191
0.0809,1.6242
0.0814,1.6242
0.0819,1.6191
0.0824,1.6292
0.0829,1.6191
0.0835,1.6292
0.0840,1.6242
0.0845,1.6242
0.0850,1.6242
0.0856,1.6242
0.0861,1.6242
0.0866,1.6242
0.0871,1.6242
0.0877,1.6242
0.0882,1.6191
0.0887,1.6191
0.0892,1.6191
0.0897,1.6191
0.0903,1.6191
0.0908,1.6242
0.0913,1.6242
0.0918,1.6141
0.0923,1.6242
0.0929,1.6242
0.0934,1.6242
0.0939,1.6242
0.0944,1.6242
0.0949,1.6242
0.0955,1.6292
0.0960,1.6242
