Время[c],Напряжение[В]
0.0000,1.3770
0.0006,1.3770
0.0011,1.3720
0.0016,1.3770
0.0021,1.3720
0.0026,1.3770
0.0032,1.3770
0.0037,1.3720
0.0042,1.3770
0.0047,1.3770
0.0053,1.3720
0.0058,1.3720
0.0063,1.3770
0.0068,1.3821
0.0073,1.3770
0.0079,1.3821
0.0084,1.3770
0.0089,1.3770
0.0094,1.3720
0.0099,1.3720
0.0105,1.3720
0.0110,1.3770
0.0115,1.3770
0.0120,1.3770
0.0125,1.3770
0.0131,1.3770
0.0136,1.3720
0.0141,1.3770
0.0146,1.3720
0.0151,1.3770
0.0157,1.3770
0.0162,1.3821
0.0167,1.3770
0.0172,1.3770
0.0177,1.3770
0.0183,1.3720
0.0188,1.3770
0.0193,1.3770
0.0198,1.3770
0.0203,1.3770
0.0209,1.3770
0.0214,1.3770
0.0219,1.3720
0.0224,1.3770
0.0229,1.3770
0.0235,1.3821
0.0240,1.3770
0.0245,1.3770
0.0250,1.3770
0.0256,1.3720
0.0261,1.3720
0.0266,1.3770
0.0271,1.3720
0.0276,1.3720
0.0282,1.3770
0.0287,1.3770
0.0292,1.3770
0.0297,1.3770
0.0302,1.3770
0.0308,1.3770
0.0313,1.3770
0.0318,1.3770
0.0323,1.3770
0.0328,1.3770
0.0334,1.3770
0.0339,1.3770
0.0344,1.3770
0.0349,1.3770
0.0354,1.3770
0.0360,1.3720
0.0365,1.3770
0.0370,1.3720
0.0375,1.3770
0.0380,1.3770
0.0386,1.3770
0.0391,1.3720
0.0396,1.3720
0.0401,1.3720
0.0406,1.3720
0.0412,1.3720
0.0417,1.3720
0.0422,1.3720
0.0427,1.3720
0.0432,1.3720
0.0438,1.3770
0.0443,1.3770
0.0448,1.3720
0.0453,1.3720
0.0459,1.3720
0.0464,1.3770
0.0469,1.3720
0.0474,1.3720
0.0479,1.3770
0.0485,1.3770
0.0490,1.3720
0.0495,1.3770
0.0500,1.3720
0.0505,1.3770
0.0511,1.3720
0.0516,1.3720
0.0521,1.3770
0.0526,1.3770
0.0531,1.3770
0.0537,1.3770
0.0542,1.3770
0.0547,1.3720
0.0552,1.3720
0.0557,1.3770
0.0563,1.3770
0.0568,1.3770
0.0573,1.3770
0.0578,1.3720
0.0583,1.3770
0.0589,1.3720
0.0594,1.3770
0.0599,1.3770
0.0604,1.3770
0.0609,1.3770
0.0615,1.3720
0.0620,1.3720
0.0625,1.3720
0.0630,1.3720
0.0635,1.3720
0.0641,1.3770
0.0646,1.3720
0.0651,1.3720
0.0656,1.3720
0.0661,1.3720
0.0667,1.3720
0.0672,1.3720
0.0677,1.3720
0.0682,1.3720
0.0687,1.3770
0.0693,1.3770
0.0698,1.3770
0.0703,1.3720
0.0708,1.3720
0.0714,1.3720
0.0719,1.3720
0.0724,1.3720
0.0729,1.3720
0.0734,1.3770
0.0740,1.3720
0.0745,1.3770
0.0750,1.3770
0.0755,1.3720
0.0760,1.3720
0.0766,1.3720
0.0771,1.3720
0.0776,1.3720
0.0781,1.3770
0.0787,1.3720
0.0792,1.3770
0.0797,1.3720
0.0802,1.3770
0.0807,1.3770
0.0813,1.3720
0.0818,1.3770
0.0823,1.3720
0.0828,1.3720
0.0834,1.3770
0.0839,1.3770
0.0844,1.3770
0.0849,1.3669
0.0855,1.3720
0.0860,1.3770
0.0865,1.3770
0.0871,1.3770
0.0876,1.3770
0.0881,1.3770
0.0886,1.3770
0.0892,1.3770
0.0897,1.3770
0.0902,1.3720
0.0908,1.3770
0.0913,1.3821
0.0918,1.3770
0.0924,1.3770
0.0929,1.3770
0.0934,1.3720
0.0940,1.3770
0.0945,1.3720
0.0950,1.3720
0.0956,1.3770
0.0961,1.3770
0.0966,1.3821
0.0972,1.3770
0.0977,1.3821
0.0982,1.3770
0.0988,1.3770
0.0993,1.3770
0.0998,1.3770
0.1004,1.3770
0.1010,1.3770
0.1015,1.3821
0.1020,1.3770
0.1026,1.3770
0.1031,1.3821
0.1036,1.3821
0.1042,1.3821
0.1047,1.3821
0.1052,1.3821
0.1058,1.3821
0.1063,1.3821
0.1068,1.3821
0.1074,1.3821
0.1079,1.3821
0.1084,1.3821
0.1090,1.3821
0.1095,1.3871
0.1101,1.3821
0.1106,1.3821
0.1112,1.3821
0.1117,1.3871
0.1123,1.3871
0.1129,1.3871
0.1134,1.3871
0.1140,1.3871
0.1145,1.3821
0.1150,1.3821
0.1155,1.3821
0.1160,1.3871
0.1166,1.3821
0.1171,1.3871
0.1176,1.3871
0.1181,1.3821
0.1187,1.3821
0.1192,1.3871
0.1197,1.3871
0.1202,1.3871
0.1207,1.3871
0.1213,1.3871
0.1218,1.3871
0.1223,1.3821
0.1228,1.3921
0.1234,1.3821
0.1239,1.3871
0.1244,1.3921
0.1249,1.3921
0.1255,1.3871
0.1260,1.3871
0.1265,1.3871
0.1270,1.3921
0.1275,1.3921
0.1281,1.3921
0.1286,1.3921
0.1291,1.3921
0.1296,1.3921
0.1301,1.3921
0.1307,1.3921
0.1312,1.3921
0.1317,1.3921
0.1322,1.3921
0.1328,1.3871
0.1333,1.3921
0.1338,1.3921
0.1343,1.3921
0.1348,1.3972
0.1354,1.3972
0.1359,1.3921
0.1364,1.3921
0.1369,1.3921
0.1374,1.3972
0.1380,1.3921
0.1385,1.3972
0.1390,1.3972
0.1395,1.3972
0.1401,1.3972
0.1406,1.3972
0.1411,1.3921
0.1416,1.3972
0.1421,1.3972
0.1427,1.3972
0.1432,1.3972
0.1437,1.4022
0.1442,1.4022
0.1448,1.4022
0.1453,1.3972
0.1458,1.3972
0.1463,1.3921
0.1468,1.4022
0.1474,1.3972
0.1479,1.3972
0.1484,1.4022
0.1489,1.3921
0.1494,1.4022
0.1500,1.3972
0.1505,1.4022
0.1510,1.3921
0.1515,1.4022
0.1521,1.4022
0.1526,1.4022
0.1531,1.4022
0.1536,1.4022
0.1541,1.4022
0.1547,1.4022
0.1552,1.4022
0.1557,1.4022
0.1562,1.4022
0.1568,1.4073
0.1573,1.4073
0.1578,1.3972
0.1583,1.4073
0.1588,1.4022
0.1594,1.4022
0.1599,1.4022
0.1604,1.4022
0.1609,1.3972
0.1614,1.4022
0.1620,1.4022
0.1625,1.4022
0.1630,1.4073
0.1636,1.4073
0.1641,1.4022
0.1647,1.4022
0.1652,1.4073
0.1657,1.4022
0.1662,1.4022
0.1668,1.4022
0.1673,1.4022
0.1678,1.4073
0.1683,1.4073
0.1688,1.4022
0.1694,1.4022
0.1699,1.4073
0.1704,1.4073
0.1709,1.4073
0.1714,1.4073
0.1720,1.4022
0.1725,1.4073
0.1730,1.4073
0.1735,1.4073
0.1741,1.4073
0.1746,1.4073
0.1751,1.4022
0.1756,1.3972
0.1761,1.4022
0.1767,1.4073
0.1772,1.4073
0.1777,1.4022
0.1782,1.4022
0.1788,1.4073
0.1793,1.4073
0.1798,1.4073
0.1803,1.4022
0.1808,1.4073
0.1814,1.4022
0.1819,1.4073
0.1824,1.4073
0.1829,1.4022
0.1834,1.4022
0.1840,1.4073
0.1845,1.4073
0.1850,1.4073
0.1855,1.4073
0.1861,1.4073
0.1866,1.4022
0.1871,1.4022
0.1876,1.4022
0.1881,1.4022
0.1887,1.4073
0.1892,1.4073
0.1897,1.4073
0.1902,1.4073
0.1907,1.4073
0.1913,1.4073
0.1918,1.4123
0.1923,1.4073
0.1928,1.4073
0.1934,1.4073
0.1939,1.4073
0.1944,1.4073
0.1949,1.4073
0.1954,1.4073
0.1960,1.4022
0.1965,1.4073
0.1970,1.4123
0.1975,1.4073
0.1980,1.4022
0.1986,1.4022
0.1991,1.4022
0.1996,1.4073
0.2001,1.4073
0.2007,1.4073
0.2012,1.4073
0.2017,1.4073
0.2022,1.4073
0.2027,1.4073
0.2033,1.4073
0.2038,1.4073
0.2043,1.4022
0.2048,1.4123
0.2053,1.4073
0.2059,1.4022
0.2064,1.4073
0.2069,1.4073
0.2074,1.4073
0.2080,1.4073
0.2085,1.4073
0.2090,1.4073
0.2095,1.4073
0.2100,1.4123
0.2106,1.4073
0.2111,1.4123
0.2116,1.4073
0.2121,1.4073
0.2127,1.4073
0.2132,1.4123
0.2137,1.4073
0.2142,1.4022
0.2147,1.4073
0.2153,1.4073
0.2158,1.4073
0.2163,1.4073
0.2168,1.4073
0.2173,1.4073
0.2179,1.4073
0.2184,1.4073
0.2189,1.4123
0.2194,1.4073
0.2200,1.4073
0.2205,1.4022
0.2210,1.4022
0.2215,1.4073
0.2220,1.4073
0.2226,1.4073
0.2231,1.4073
0.2236,1.4073
0.2241,1.4022
0.2247,1.4073
0.2252,1.4073
0.2257,1.4073
0.2262,1.4073
0.2267,1.4073
0.2273,1.4022
0.2278,1.4022
0.2283,1.4022
0.2288,1.4073
0.2294,1.4022
0.2299,1.4073
0.2304,1.4073
0.2310,1.4022
0.2316,1.4073
0.2321,1.4073
0.2327,1.4073
0.2333,1.4073
0.2338,1.4073
0.2343,1.4073
0.2349,1.4073
0.2354,1.4073
0.2360,1.4073
0.2365,1.4073
0.2370,1.4123
0.2376,1.4123
0.2381,1.4073
0.2386,1.4073
0.2391,1.4073
0.2397,1.4073
0.2402,1.4022
0.2408,1.4022
0.2414,1.4073
0.2420,1.4073
0.2425,1.4073
0.2431,1.4073
0.2436,1.4073
0.2442,1.4073
0.2448,1.4022
0.2453,1.4073
0.2459,1.4073
0.2465,1.4073
0.2470,1.4073
0.2475,1.4073
0.2480,1.4073
0.2486,1.4073
0.2491,1.4073
0.2496,1.4073
0.2501,1.4073
0.2507,1.4073
0.2512,1.4073
0.2517,1.4073
0.2522,1.4073
0.2528,1.4073
0.2533,1.4073
0.2538,1.4073
0.2543,1.4073
0.2548,1.4073
0.2554,1.4073
0.2559,1.4022
0.2564,1.4022
0.2569,1.4073
0.2575,1.4073
0.2580,1.4073
0.2585,1.4022
0.2591,1.4073
0.2596,1.4073
0.2601,1.4073
0.2606,1.4073
0.2612,1.4073
0.2617,1.4123
0.2622,1.4073
0.2627,1.4073
0.2633,1.4073
0.2638,1.4073
0.2643,1.4073
0.2648,1.4073
0.2653,1.4123
0.2659,1.4073
0.2664,1.4073
0.2669,1.4073
0.2674,1.4022
0.2680,1.4123
0.2685,1.4073
0.2690,1.4073
0.2695,1.4022
0.2700,1.4123
0.2706,1.4073
0.2711,1.4022
0.2716,1.4073
0.2721,1.4073
0.2726,1.4073
0.2732,1.4073
0.2737,1.4073
0.2742,1.4073
0.2747,1.4022
0.2753,1.4073
0.2758,1.4073
0.2763,1.4073
0.2768,1.4073
0.2774,1.4073
0.2779,1.4073
0.2784,1.4073
0.2789,1.4073
0.2795,1.4073
0.2800,1.4073
0.2805,1.4073
0.2810,1.4073
0.2815,1.4073
0.2821,1.4073
0.2826,1.4073
0.2831,1.4073
0.2836,1.4123
0.2842,1.4022
0.2847,1.4073
0.2852,1.4073
0.2857,1.4022
0.2862,1.4022
0.2868,1.3972
0.2873,1.4073
0.2878,1.4022
0.2883,1.3972
0.2889,1.3972
0.2894,1.4022
0.2899,1.4022
0.2904,1.4073
0.2909,1.4073
0.2915,1.4073
0.2920,1.4022
0.2925,1.4073
0.2930,1.4022
0.2936,1.4022
0.2941,1.4022
0.2946,1.4022
0.2951,1.4022
0.2957,1.3972
0.2962,1.3972
0.2967,1.4022
0.2972,1.4073
0.2977,1.4022
0.2983,1.4022
0.2988,1.4073
0.2993,1.4022
0.2998,1.4022
0.3004,1.4022
0.3009,1.4073
0.3014,1.4022
0.3019,1.4022
0.3025,1.4022
0.3030,1.4073
0.3035,1.4022
0.3040,1.4022
0.3046,1.4073
0.3051,1.4022
0.3056,1.4073
0.3061,1.4022
0.3067,1.4022
0.3072,1.4022
0.3077,1.4022
0.3082,1.4022
0.3087,1.4022
0.3093,1.4073
0.3098,1.3972
0.3103,1.3972
0.3108,1.3972
0.3113,1.4022
0.3119,1.3972
0.3124,1.4022
0.3129,1.4022
0.3134,1.4022
0.3140,1.4022
0.3145,1.4022
0.3150,1.4022
0.3155,1.4022
0.3161,1.4022
0.3166,1.4022
0.3171,1.4022
0.3176,1.4022
0.3182,1.4022
0.3187,1.4022
0.3192,1.4022
0.3197,1.4022
0.3202,1.3972
0.3208,1.4022
0.3213,1.4022
0.3218,1.4022
0.3223,1.3972
0.3229,1.4022
0.3234,1.4022
0.3239,1.4022
0.3244,1.4022
0.3250,1.4022
0.3255,1.3972
0.3260,1.3972
0.3265,1.3972
0.3271,1.4022
0.3276,1.3972
0.3281,1.4022
0.3286,1.4022
0.3291,1.4022
0.3297,1.3972
0.3302,1.3972
0.3307,1.4022
0.3312,1.4022
0.3318,1.4022
0.3323,1.4022
0.3328,1.4022
0.3333,1.3972
0.3339,1.3972
0.3344,1.3972
0.3349,1.3921
0.3354,1.3972
0.3359,1.3972
0.3365,1.3972
0.3370,1.3972
0.3375,1.3972
0.3380,1.4022
0.3386,1.3921
0.3391,1.3921
0.3396,1.3972
0.3401,1.3972
0.3407,1.3972
0.3413,1.4022
0.3418,1.4022
0.3424,1.3921
0.3430,1.3972
0.3436,1.3972
0.3442,1.3972
0.3447,1.3972
0.3453,1.3921
0.3458,1.3972
0.3464,1.3972
0.3470,1.3972
0.3476,1.3972
0.3481,1.3972
0.3487,1.3972
0.3492,1.3972
0.3497,1.3972
0.3502,1.3972
0.3508,1.3972
0.3513,1.3972
0.3518,1.3972
0.3523,1.3972
0.3528,1.4022
0.3534,1.3972
0.3539,1.3972
0.3545,1.3972
0.3550,1.3921
0.3555,1.3972
0.3560,1.4022
0.3566,1.3972
0.3571,1.3972
0.3576,1.3972
0.3581,1.4022
0.3587,1.3972
0.3592,1.3972
0.3597,1.3972
0.3603,1.3921
0.3608,1.3972
0.3613,1.3921
0.3618,1.3972
0.3624,1.3921
0.3629,1.3972
0.3634,1.3972
0.3639,1.3921
0.3644,1.3972
0.3650,1.3972
0.3655,1.3921
0.3660,1.3972
0.3665,1.3921
0.3671,1.3921
0.3676,1.3972
0.3681,1.3972
0.3686,1.3972
0.3691,1.3972
0.3697,1.3972
0.3702,1.3972
0.3707,1.3972
0.3712,1.3972
0.3717,1.3921
0.3723,1.3972
0.3728,1.3972
0.3733,1.3972
0.3738,1.3921
0.3744,1.3972
0.3749,1.3921
0.3754,1.3921
0.3759,1.3972
0.3765,1.3972
0.3770,1.3972
0.3775,1.3972
0.3780,1.3972
0.3786,1.3972
0.3791,1.3972
0.3796,1.3972
0.3801,1.3972
0.3806,1.3972
0.3812,1.3972
0.3817,1.3921
0.3822,1.3972
0.3827,1.3972
0.3833,1.3972
0.3838,1.3921
0.3843,1.3972
0.3848,1.3921
0.3853,1.3972
0.3859,1.3972
0.3864,1.3972
0.3869,1.3921
0.3874,1.3921
0.3880,1.3921
0.3885,1.3972
0.3890,1.3921
