Время[c],Напряжение[В]
0.0000,0.2177
0.0006,0.2127
0.0011,0.2177
0.0016,0.2127
0.0021,0.2177
0.0027,0.2127
0.0032,0.2177
0.0037,0.2177
0.0042,0.2177
0.0047,0.2127
0.0053,0.2177
0.0058,0.2177
0.0063,0.2177
0.0068,0.2127
0.0074,0.2177
0.0079,0.2177
0.0084,0.2177
0.0089,0.2177
0.0094,0.2127
0.0100,0.2177
0.0105,0.2228
0.0110,0.2177
0.0115,0.2177
0.0121,0.2127
0.0126,0.2177
0.0131,0.2127
0.0136,0.2127
0.0141,0.2177
0.0147,0.2228
0.0152,0.2177
0.0157,0.2127
0.0162,0.2177
0.0167,0.2177
0.0173,0.2177
0.0178,0.2177
0.0183,0.2177
0.0188,0.2177
0.0194,0.2177
0.0199,0.2177
0.0204,0.2177
0.0209,0.2177
0.0214,0.2177
0.0220,0.2127
0.0225,0.2177
0.0230,0.2177
0.0235,0.2127
0.0240,0.2177
0.0246,0.2127
0.0251,0.2177
0.0256,0.2228
0.0261,0.2228
0.0267,0.2127
0.0272,0.2127
0.0277,0.2177
0.0282,0.2127
0.0287,0.2127
0.0293,0.2177
0.0298,0.2228
0.0303,0.2177
0.0308,0.2177
0.0314,0.2127
0.0319,0.2177
0.0324,0.2228
0.0329,0.2177
0.0334,0.2127
0.0340,0.2177
0.0345,0.2127
0.0350,0.2177
0.0355,0.2127
0.0360,0.2177
0.0366,0.2177
0.0371,0.2177
0.0376,0.2127
0.0381,0.2177
0.0387,0.2177
0.0392,0.2127
0.0397,0.2177
0.0402,0.2177
0.0407,0.2177
0.0413,0.2177
0.0418,0.2177
0.0425,0.2177
0.0430,0.2177
0.0436,0.2228
0.0441,0.2177
0.0446,0.2177
0.0451,0.2127
0.0457,0.2177
0.0462,0.2127
0.0467,0.2127
0.0472,0.2177
0.0478,0.2177
0.0483,0.2177
0.0488,0.2177
0.0493,0.2177
0.0498,0.2228
0.0504,0.2177
0.0509,0.2228
0.0514,0.2177
0.0519,0.2177
0.0525,0.2177
0.0530,0.2177
0.0535,0.2228
0.0540,0.2177
0.0546,0.2127
0.0551,0.2177
0.0556,0.2177
0.0561,0.2177
0.0567,0.2177
0.0572,0.2177
0.0577,0.2177
0.0582,0.2177
0.0588,0.2177
0.0593,0.2177
0.0598,0.2177
0.0603,0.2228
0.0608,0.2127
0.0614,0.2177
0.0619,0.2177
0.0624,0.2127
0.0629,0.2127
0.0635,0.2177
0.0640,0.2127
0.0645,0.2177
0.0650,0.2228
0.0656,0.2177
0.0661,0.2177
0.0666,0.2127
0.0671,0.2228
0.0677,0.2177
0.0682,0.2127
0.0687,0.2127
0.0692,0.2127
0.0698,0.2177
0.0703,0.2177
0.0708,0.2177
0.0713,0.2127
0.0718,0.2177
0.0724,0.2177
0.0729,0.2177
0.0734,0.2127
0.0739,0.2177
0.0745,0.2127
0.0750,0.2177
0.0755,0.2127
0.0761,0.2177
0.0766,0.2177
0.0771,0.2177
0.0777,0.2228
0.0782,0.2177
0.0787,0.2177
0.0793,0.2177
0.0798,0.2177
0.0804,0.2177
0.0809,0.2177
0.0814,0.2177
0.0823,0.2177
0.0829,0.2228
0.0834,0.2177
0.0839,0.2228
0.0845,0.2177
0.0850,0.2127
0.0855,0.2177
0.0861,0.2177
0.0866,0.2177
0.0871,0.2177
0.0877,0.2177
0.0882,0.2177
0.0888,0.2177
0.0893,0.2177
0.0899,0.2177
0.0904,0.2127
0.0909,0.2177
0.0915,0.2177
0.0920,0.2177
0.0925,0.2127
0.0931,0.2177
0.0936,0.2177
0.0941,0.2127
0.0947,0.2177
0.0952,0.2177
0.0958,0.2127
0.0963,0.2177
0.0968,0.2177
0.0973,0.2127
0.0979,0.2177
0.0984,0.2177
0.0990,0.2177
0.0995,0.2127
0.1000,0.2127
0.1006,0.2177
0.1011,0.2177
0.1016,0.2177
0.1022,0.2127
0.1027,0.2177
0.1033,0.2177
0.1038,0.2127
0.1044,0.2177
0.1050,0.2228
0.1055,0.2177
0.1061,0.2177
0.1066,0.2127
0.1072,0.2127
0.1077,0.2228
0.1082,0.2177
0.1087,0.2177
0.1092,0.2177
0.1098,0.2228
0.1103,0.2127
0.1108,0.2177
0.1113,0.2177
0.1119,0.2127
0.1124,0.2177
0.1129,0.2127
0.1134,0.2177
0.1139,0.2177
0.1145,0.2177
0.1150,0.2177
0.1155,0.2177
0.1160,0.2127
0.1165,0.2228
0.1171,0.2127
0.1176,0.2177
0.1181,0.2127
0.1187,0.2177
0.1193,0.2177
0.1199,0.2177
0.1204,0.2177
0.1210,0.2177
0.1215,0.2127
0.1221,0.2177
0.1226,0.2177
0.1232,0.2127
0.1237,0.2127
0.1243,0.2177
0.1248,0.2177
0.1253,0.2177
0.1259,0.2177
0.1264,0.2127
0.1269,0.2177
0.1275,0.2127
0.1280,0.2177
0.1286,0.2177
0.1291,0.2177
0.1297,0.2127
