Время[c],Напряжение[В]
0.0000,1.0592
0.0006,1.0643
0.0011,1.0643
0.0017,1.0643
0.0022,1.0643
0.0027,1.0643
0.0033,1.0643
0.0038,1.0643
0.0043,1.0643
0.0049,1.0693
0.0054,1.0693
0.0059,1.0693
0.0064,1.0693
0.0069,1.0693
0.0075,1.0693
0.0080,1.0693
0.0085,1.0643
0.0090,1.0643
0.0096,1.0693
0.0101,1.0643
0.0106,1.0643
0.0111,1.0643
0.0117,1.0643
0.0122,1.0693
0.0127,1.0744
0.0132,1.0693
0.0138,1.0643
0.0143,1.0693
0.0148,1.0643
0.0153,1.0643
0.0159,1.0744
0.0164,1.0693
0.0169,1.0643
0.0174,1.0693
0.0180,1.0693
0.0185,1.0693
0.0190,1.0643
0.0195,1.0744
0.0200,1.0643
0.0206,1.0693
0.0211,1.0693
0.0216,1.0693
0.0221,1.0693
0.0227,1.0693
0.0232,1.0693
0.0237,1.0744
0.0243,1.0693
0.0248,1.0693
0.0254,1.0693
0.0269,1.0693
0.0276,1.0693
0.0281,1.0693
0.0287,1.0643
0.0292,1.0643
0.0298,1.0643
0.0304,1.0693
0.0310,1.0643
0.0316,1.0744
0.0322,1.0693
0.0328,1.0693
0.0334,1.0744
0.0339,1.0693
0.0345,1.0693
0.0350,1.0693
0.0356,1.0693
0.0361,1.0693
0.0367,1.0693
0.0372,1.0693
0.0377,1.0693
0.0382,1.0643
0.0388,1.0693
0.0393,1.0693
0.0398,1.0693
0.0403,1.0693
0.0409,1.0693
0.0414,1.0744
0.0419,1.0693
0.0424,1.0693
0.0429,1.0693
0.0435,1.0693
0.0440,1.0693
0.0446,1.0693
0.0451,1.0693
0.0457,1.0693
0.0463,1.0693
0.0468,1.0693
0.0474,1.0744
0.0479,1.0693
0.0485,1.0643
0.0491,1.0693
0.0496,1.0693
0.0502,1.0693
0.0507,1.0693
0.0512,1.0693
0.0517,1.0693
0.0523,1.0693
0.0528,1.0643
0.0533,1.0693
0.0538,1.0693
0.0544,1.0693
0.0549,1.0693
0.0554,1.0643
0.0559,1.0693
0.0564,1.0693
0.0570,1.0693
0.0575,1.0643
0.0580,1.0693
0.0585,1.0693
0.0591,1.0693
0.0596,1.0643
0.0601,1.0693
0.0607,1.0693
0.0612,1.0744
0.0617,1.0693
0.0622,1.0693
0.0628,1.0693
0.0633,1.0693
0.0638,1.0693
0.0643,1.0693
0.0649,1.0693
0.0654,1.0693
0.0659,1.0693
0.0664,1.0693
0.0670,1.0693
0.0675,1.0693
0.0680,1.0693
0.0685,1.0693
0.0691,1.0693
0.0696,1.0693
0.0701,1.0693
0.0706,1.0693
0.0712,1.0693
0.0717,1.0693
0.0722,1.0643
0.0727,1.0744
0.0732,1.0693
0.0738,1.0643
0.0743,1.0693
0.0748,1.0744
0.0753,1.0693
0.0759,1.0693
0.0764,1.0744
0.0769,1.0693
0.0774,1.0693
0.0780,1.0693
0.0785,1.0693
0.0790,1.0693
0.0795,1.0693
0.0801,1.0693
0.0806,1.0693
0.0811,1.0693
0.0816,1.0693
0.0822,1.0693
0.0827,1.0693
0.0832,1.0693
0.0837,1.0643
0.0843,1.0744
0.0848,1.0693
0.0853,1.0693
0.0859,1.0693
0.0865,1.0693
0.0870,1.0693
0.0876,1.0693
0.0882,1.0693
0.0887,1.0693
0.0893,1.0693
0.0899,1.0693
0.0904,1.0693
0.0910,1.0693
0.0915,1.0693
0.0921,1.0693
0.0926,1.0643
0.0932,1.0693
0.0938,1.0693
0.0944,1.0693
0.0949,1.0693
0.0955,1.0693
0.0960,1.0693
0.0965,1.0643
0.0970,1.0693
0.0976,1.0693
0.0981,1.0643
0.0986,1.0643
0.0991,1.0693
0.0997,1.0693
0.1002,1.0693
0.1008,1.0693
0.1014,1.0693
0.1020,1.0643
0.1025,1.0693
0.1030,1.0693
0.1036,1.0693
0.1042,1.0693
0.1048,1.0643
0.1053,1.0744
0.1058,1.0744
0.1064,1.0643
0.1069,1.0643
0.1074,1.0643
0.1079,1.0643
0.1085,1.0693
0.1090,1.0693
0.1095,1.0643
0.1101,1.0693
0.1107,1.0693
0.1112,1.0693
0.1118,1.0643
0.1123,1.0693
0.1129,1.0693
0.1134,1.0643
0.1139,1.0643
0.1145,1.0643
0.1151,1.0643
0.1156,1.0693
0.1161,1.0643
0.1166,1.0693
0.1172,1.0643
0.1177,1.0693
0.1182,1.0643
0.1188,1.0643
0.1193,1.0693
0.1198,1.0693
0.1204,1.0693
0.1209,1.0693
0.1214,1.0693
0.1220,1.0693
0.1225,1.0693
0.1231,1.0693
0.1236,1.0693
0.1243,1.0693
0.1249,1.0693
0.1254,1.0693
0.1259,1.0693
0.1264,1.0693
0.1270,1.0693
0.1276,1.0643
0.1281,1.0643
0.1287,1.0693
0.1292,1.0643
0.1297,1.0643
0.1302,1.0693
0.1307,1.0693
0.1313,1.0693
0.1318,1.0643
0.1323,1.0643
0.1328,1.0693
0.1334,1.0693
0.1339,1.0693
0.1344,1.0693
0.1349,1.0693
0.1355,1.0693
0.1360,1.0643
0.1365,1.0693
0.1370,1.0643
0.1375,1.0643
0.1381,1.0643
0.1386,1.0643
0.1391,1.0643
0.1396,1.0693
0.1402,1.0643
0.1407,1.0643
0.1412,1.0643
0.1417,1.0643
0.1423,1.0643
0.1428,1.0693
0.1433,1.0643
0.1439,1.0643
0.1444,1.0643
0.1449,1.0643
0.1454,1.0693
0.1460,1.0643
0.1465,1.0643
0.1470,1.0643
0.1475,1.0592
0.1480,1.0643
0.1486,1.0592
0.1491,1.0643
0.1496,1.0643
0.1501,1.0693
0.1507,1.0643
0.1512,1.0643
0.1517,1.0643
0.1522,1.0592
0.1528,1.0592
0.1533,1.0592
0.1538,1.0643
0.1543,1.0643
0.1548,1.0643
0.1554,1.0643
0.1559,1.0643
0.1564,1.0643
0.1569,1.0643
0.1575,1.0592
0.1580,1.0643
0.1585,1.0643
0.1591,1.0643
0.1596,1.0643
0.1602,1.0693
0.1607,1.0592
0.1613,1.0643
0.1618,1.0643
0.1624,1.0592
0.1629,1.0643
0.1634,1.0643
0.1640,1.0643
0.1645,1.0643
0.1650,1.0643
0.1655,1.0592
0.1661,1.0643
0.1666,1.0693
0.1671,1.0643
0.1676,1.0592
0.1682,1.0592
