Время[c],Напряжение[В]
0.0000,1.2206
0.0006,1.2257
0.0011,1.2257
0.0016,1.2257
0.0021,1.2257
0.0027,1.2257
0.0032,1.2257
0.0037,1.2257
0.0043,1.2257
0.0048,1.2257
0.0053,1.2257
0.0058,1.2206
0.0064,1.2257
0.0069,1.2206
0.0074,1.2257
0.0079,1.2257
0.0085,1.2257
0.0090,1.2206
0.0095,1.2206
0.0100,1.2257
0.0105,1.2206
0.0111,1.2257
0.0116,1.2206
0.0121,1.2257
0.0126,1.2257
0.0132,1.2257
0.0137,1.2257
0.0142,1.2257
0.0147,1.2307
0.0152,1.2257
0.0158,1.2257
0.0163,1.2257
0.0168,1.2257
0.0173,1.2257
0.0179,1.2257
0.0184,1.2257
0.0189,1.2257
0.0194,1.2257
0.0199,1.2206
0.0205,1.2257
0.0210,1.2257
0.0215,1.2257
0.0220,1.2257
0.0226,1.2257
0.0231,1.2257
0.0236,1.2257
0.0241,1.2257
0.0246,1.2257
0.0252,1.2257
0.0257,1.2206
0.0262,1.2206
0.0267,1.2206
0.0273,1.2257
0.0278,1.2257
0.0283,1.2257
0.0288,1.2206
0.0294,1.2206
0.0299,1.2257
0.0304,1.2257
0.0309,1.2206
0.0314,1.2206
0.0320,1.2257
0.0325,1.2257
0.0330,1.2206
0.0335,1.2257
0.0341,1.2257
0.0346,1.2257
0.0351,1.2206
0.0356,1.2257
0.0361,1.2257
0.0367,1.2257
0.0372,1.2257
0.0377,1.2257
0.0382,1.2257
0.0388,1.2257
0.0393,1.2206
0.0398,1.2257
0.0403,1.2257
0.0409,1.2206
0.0414,1.2257
0.0419,1.2257
0.0424,1.2257
0.0430,1.2257
0.0435,1.2206
0.0440,1.2206
0.0445,1.2206
0.0451,1.2257
0.0456,1.2257
0.0461,1.2257
0.0466,1.2257
0.0471,1.2257
0.0477,1.2257
0.0482,1.2257
0.0487,1.2257
0.0492,1.2206
0.0498,1.2206
0.0503,1.2206
0.0508,1.2257
0.0513,1.2257
0.0519,1.2206
0.0524,1.2206
0.0529,1.2257
0.0534,1.2206
0.0540,1.2257
0.0545,1.2257
0.0550,1.2206
0.0555,1.2257
0.0561,1.2257
0.0566,1.2206
0.0571,1.2257
0.0576,1.2257
0.0582,1.2257
0.0587,1.2257
0.0592,1.2257
0.0597,1.2257
0.0603,1.2257
0.0608,1.2206
0.0613,1.2206
0.0618,1.2257
0.0623,1.2206
0.0629,1.2206
0.0634,1.2257
0.0639,1.2206
0.0644,1.2257
0.0650,1.2257
0.0655,1.2206
0.0660,1.2206
0.0665,1.2257
0.0671,1.2257
0.0676,1.2257
0.0681,1.2257
