Время[c],Напряжение[В]
0.0000,1.2055
0.0006,1.2055
0.0011,1.2005
0.0016,1.2055
0.0021,1.2005
0.0027,1.2106
0.0032,1.2055
0.0037,1.2055
0.0042,1.2055
0.0048,1.2106
0.0053,1.2055
0.0058,1.2055
0.0063,1.2055
0.0068,1.2055
0.0074,1.2106
0.0079,1.2106
0.0084,1.2055
0.0089,1.2106
0.0094,1.2055
0.0100,1.2106
0.0105,1.2055
0.0110,1.2055
0.0115,1.2106
0.0121,1.2106
0.0126,1.2106
0.0131,1.2055
0.0136,1.2055
0.0141,1.2055
0.0147,1.2055
0.0152,1.2055
0.0157,1.2055
0.0162,1.2055
0.0168,1.2055
0.0173,1.2005
0.0178,1.2055
0.0183,1.2055
0.0188,1.2106
0.0194,1.2055
0.0199,1.2055
0.0204,1.2055
0.0209,1.2055
0.0215,1.2055
0.0220,1.2055
0.0225,1.2055
0.0230,1.2055
0.0235,1.2055
0.0241,1.2055
0.0246,1.2055
0.0251,1.2055
0.0256,1.2055
0.0262,1.2055
0.0267,1.2055
0.0272,1.2055
0.0277,1.2055
0.0283,1.2055
0.0288,1.2005
0.0293,1.2055
0.0298,1.2005
0.0303,1.2005
0.0309,1.2106
0.0314,1.2055
0.0319,1.2106
0.0324,1.2055
0.0330,1.2055
0.0335,1.2005
0.0340,1.2055
0.0345,1.2055
0.0351,1.2055
0.0356,1.2055
0.0361,1.2055
0.0366,1.2005
0.0372,1.2055
0.0377,1.2055
0.0382,1.2055
0.0387,1.2055
0.0392,1.2055
0.0398,1.2055
0.0403,1.2055
0.0408,1.2055
0.0413,1.2055
0.0419,1.2055
0.0424,1.2055
0.0429,1.2055
0.0434,1.2005
0.0440,1.2005
0.0445,1.2005
0.0450,1.2005
0.0455,1.2055
0.0461,1.2005
0.0466,1.2055
0.0471,1.2055
0.0476,1.2055
0.0481,1.2055
0.0487,1.2005
0.0492,1.2055
0.0497,1.2055
0.0502,1.2055
0.0508,1.2005
0.0513,1.2005
0.0518,1.2005
0.0523,1.2005
0.0529,1.2055
0.0534,1.2005
0.0539,1.2055
0.0544,1.2005
0.0550,1.2055
0.0555,1.2005
0.0560,1.2005
0.0565,1.2005
0.0571,1.2055
0.0576,1.2055
0.0581,1.2055
0.0586,1.2005
0.0592,1.2055
0.0597,1.2055
0.0602,1.2055
0.0607,1.2106
0.0612,1.2055
0.0618,1.2055
0.0623,1.2055
0.0628,1.2055
0.0633,1.2055
0.0639,1.2005
0.0644,1.2055
0.0649,1.2055
0.0654,1.2005
0.0660,1.2055
0.0665,1.2055
0.0670,1.2005
0.0675,1.2055
0.0681,1.2005
0.0686,1.2055
0.0691,1.2055
0.0696,1.2055
0.0702,1.2005
0.0707,1.2055
0.0712,1.2055
0.0717,1.2055
0.0723,1.2005
0.0728,1.2055
0.0733,1.2005
0.0738,1.2005
0.0743,1.2005
0.0749,1.2055
0.0754,1.2005
0.0759,1.2055
0.0764,1.2005
0.0770,1.2005
0.0775,1.2055
0.0780,1.2055
0.0785,1.2005
0.0791,1.2005
0.0796,1.2005
0.0801,1.2055
0.0806,1.2055
0.0812,1.2005
0.0817,1.2005
0.0822,1.2005
0.0827,1.2055
0.0833,1.2005
0.0838,1.2005
0.0843,1.1954
0.0848,1.2005
0.0853,1.2055
0.0859,1.2005
0.0864,1.2005
0.0869,1.2055
0.0874,1.2055
0.0880,1.2005
0.0885,1.2055
0.0890,1.2055
0.0895,1.2005
0.0901,1.2005
0.0906,1.2005
0.0911,1.2005
0.0916,1.2005
0.0922,1.2055
0.0927,1.2055
0.0932,1.2055
0.0937,1.2055
0.0943,1.2055
0.0948,1.2005
0.0953,1.2055
0.0958,1.2005
0.0963,1.2055
0.0969,1.2005
0.0974,1.2055
0.0979,1.2005
0.0984,1.2055
0.0990,1.2005
0.0995,1.2005
0.1000,1.2005
0.1005,1.2005
0.1011,1.2005
0.1016,1.2055
0.1021,1.2055
0.1026,1.2005
0.1032,1.2055
0.1037,1.2055
0.1042,1.2055
0.1047,1.2055
0.1052,1.1954
0.1058,1.2005
0.1063,1.2055
0.1068,1.2055
0.1073,1.2055
0.1079,1.2005
0.1084,1.2055
0.1089,1.2005
0.1094,1.2055
0.1100,1.2055
0.1105,1.2005
0.1110,1.2005
0.1115,1.2055
0.1120,1.2055
0.1126,1.2005
0.1131,1.2005
0.1136,1.2055
0.1141,1.2005
0.1147,1.2055
0.1152,1.2055
0.1157,1.2055
0.1162,1.2005
0.1168,1.2005
0.1173,1.2005
0.1178,1.2055
0.1183,1.2055
0.1189,1.2005
0.1194,1.2005
0.1199,1.2005
0.1204,1.2005
0.1209,1.2005
0.1215,1.2055
0.1220,1.2055
0.1225,1.2055
0.1230,1.2005
0.1236,1.2055
0.1241,1.2005
0.1246,1.2055
0.1251,1.2005
0.1257,1.1954
0.1262,1.2055
0.1267,1.2055
0.1272,1.2055
0.1278,1.2005
0.1283,1.2055
0.1288,1.2005
0.1293,1.2005
0.1298,1.2055
0.1304,1.2005
0.1309,1.2005
0.1314,1.2005
0.1319,1.2005
0.1325,1.2055
0.1330,1.2055
0.1335,1.2005
0.1340,1.2005
0.1346,1.2005
0.1351,1.2005
0.1356,1.2005
0.1361,1.2055
0.1367,1.2005
0.1372,1.2055
0.1377,1.2005
0.1382,1.2005
0.1387,1.2005
0.1393,1.1954
0.1398,1.1954
0.1403,1.2005
0.1408,1.2005
0.1414,1.2005
0.1419,1.2005
0.1424,1.2005
0.1429,1.2005
0.1435,1.2005
0.1440,1.2005
0.1445,1.2005
0.1450,1.2055
0.1456,1.2005
0.1461,1.2005
0.1466,1.2005
0.1471,1.2005
0.1476,1.2005
0.1482,1.2005
0.1487,1.2005
0.1492,1.2005
0.1497,1.2005
0.1503,1.2005
0.1508,1.2005
0.1513,1.2005
0.1518,1.2005
0.1524,1.2005
0.1529,1.2005
0.1534,1.2005
0.1539,1.2005
0.1545,1.1954
0.1550,1.2005
0.1555,1.2005
0.1560,1.2005
0.1565,1.2005
0.1571,1.2005
0.1576,1.2005
0.1581,1.2005
0.1586,1.2005
0.1592,1.2005
0.1597,1.2005
0.1602,1.1954
0.1607,1.2005
0.1613,1.2005
0.1618,1.2005
0.1623,1.2055
0.1628,1.2005
0.1634,1.2005
0.1639,1.1954
0.1644,1.2005
0.1649,1.2005
0.1654,1.2005
0.1660,1.2005
0.1665,1.2005
0.1670,1.2005
0.1675,1.1954
0.1681,1.2005
0.1686,1.2005
0.1691,1.2005
0.1696,1.2005
0.1702,1.2005
0.1707,1.2005
0.1712,1.2005
0.1717,1.2005
0.1722,1.1954
0.1728,1.2005
0.1733,1.2005
0.1738,1.1954
0.1743,1.1954
0.1749,1.2005
0.1754,1.2005
0.1759,1.1954
0.1764,1.2005
0.1770,1.2005
0.1775,1.2055
0.1780,1.1954
0.1785,1.2005
0.1791,1.2005
0.1796,1.2005
0.1801,1.2005
0.1806,1.2005
0.1811,1.1904
0.1817,1.1904
0.1822,1.2005
0.1827,1.2005
0.1832,1.2055
0.1838,1.1954
0.1843,1.2005
0.1848,1.1954
0.1853,1.2005
0.1859,1.2005
0.1864,1.2005
0.1869,1.2005
0.1874,1.2005
0.1880,1.2005
0.1885,1.1954
0.1890,1.1954
0.1895,1.2005
0.1900,1.1954
0.1906,1.1954
0.1911,1.1954
0.1916,1.2005
0.1921,1.2005
0.1927,1.1954
0.1932,1.1954
0.1937,1.2005
0.1942,1.1954
0.1948,1.1954
0.1953,1.1954
0.1958,1.1954
0.1963,1.2005
0.1969,1.1954
0.1974,1.1954
0.1979,1.1954
0.1984,1.1954
0.1989,1.1954
0.1995,1.2005
0.2000,1.1904
0.2005,1.2005
0.2010,1.2005
0.2016,1.1954
0.2021,1.1954
0.2026,1.2005
0.2031,1.1954
0.2037,1.1954
0.2042,1.1954
0.2047,1.1954
0.2052,1.1954
0.2058,1.1904
0.2063,1.1954
0.2068,1.1954
0.2073,1.2005
0.2078,1.1954
0.2084,1.2005
0.2089,1.2005
0.2094,1.2005
0.2099,1.2005
0.2105,1.1954
0.2110,1.2005
0.2115,1.1954
0.2120,1.2005
0.2126,1.1954
0.2131,1.2005
0.2136,1.1954
0.2141,1.1954
0.2147,1.2005
0.2152,1.2005
0.2157,1.2005
0.2162,1.1954
0.2167,1.1954
0.2173,1.1954
0.2178,1.2005
0.2183,1.2005
0.2188,1.1954
0.2194,1.1904
0.2199,1.1954
0.2204,1.2005
0.2209,1.1954
0.2215,1.1954
0.2220,1.2005
0.2225,1.1954
0.2230,1.1904
0.2236,1.1954
0.2241,1.1954
0.2246,1.1954
0.2251,1.1954
0.2256,1.1954
0.2262,1.1954
0.2267,1.1954
0.2272,1.2005
0.2277,1.1954
0.2283,1.1954
0.2288,1.1954
0.2293,1.1954
0.2298,1.1954
0.2304,1.1954
0.2309,1.1904
0.2314,1.1954
0.2319,1.1954
0.2325,1.1954
0.2330,1.1954
0.2335,1.1954
0.2340,1.1954
0.2345,1.1954
0.2351,1.1954
0.2356,1.1954
0.2361,1.1904
0.2366,1.1954
0.2372,1.1904
0.2377,1.1904
0.2382,1.1904
0.2387,1.1954
0.2393,1.1904
0.2398,1.1954
0.2403,1.1954
0.2408,1.1954
0.2413,1.1954
0.2419,1.1954
0.2424,1.1954
0.2429,1.1904
0.2434,1.1954
0.2440,1.1954
0.2445,1.1954
0.2450,1.1904
0.2455,1.1954
0.2461,1.1954
0.2466,1.1954
0.2471,1.1954
0.2476,1.1904
0.2482,1.1904
0.2487,1.1954
0.2492,1.1954
0.2497,1.1954
0.2503,1.1954
0.2508,1.1954
0.2513,1.1954
0.2518,1.1904
0.2523,1.1954
0.2529,1.1954
0.2534,1.1904
0.2539,1.1954
0.2545,1.1904
0.2550,1.1954
0.2555,1.1904
0.2560,1.1904
0.2566,1.1954
0.2571,1.1954
0.2576,1.1904
0.2581,1.1954
0.2587,1.1954
0.2592,1.1954
0.2597,1.1904
0.2602,1.1954
0.2607,1.1954
0.2613,1.1954
0.2618,1.1954
0.2623,1.1904
0.2628,1.1904
0.2634,1.1904
0.2639,1.1954
0.2644,1.1904
0.2649,1.1904
0.2655,1.1904
0.2660,1.1954
0.2665,1.1904
0.2670,1.1954
0.2675,1.1954
0.2681,1.1954
0.2686,1.1954
0.2691,1.1904
0.2696,1.1904
0.2702,1.1904
0.2707,1.1904
0.2712,1.1954
0.2717,1.1904
0.2723,1.1954
0.2728,1.1904
0.2733,1.1904
0.2738,1.1904
0.2744,1.1954
0.2749,1.1904
0.2754,1.1954
0.2759,1.1954
0.2764,1.1954
0.2770,1.1954
0.2775,1.1904
0.2780,1.1904
0.2785,1.1904
0.2791,1.1904
0.2796,1.1954
0.2801,1.1904
0.2808,1.1904
0.2814,1.1954
0.2819,1.1904
0.2824,1.1954
0.2829,1.1904
0.2835,1.1904
0.2840,1.1904
0.2845,1.1954
0.2850,1.1853
0.2855,1.1954
0.2861,1.1954
0.2866,1.1954
0.2871,1.1954
0.2876,1.1904
0.2882,1.1904
0.2887,1.1904
0.2892,1.1904
0.2897,1.1904
0.2903,1.1904
0.2908,1.1904
0.2913,1.1904
0.2918,1.1904
0.2923,1.1904
0.2929,1.1904
0.2934,1.1904
0.2939,1.1904
0.2945,1.1904
0.2950,1.1853
0.2955,1.1954
0.2960,1.1853
0.2965,1.1904
0.2971,1.1954
0.2976,1.1904
0.2981,1.1904
0.2986,1.1954
0.2992,1.1853
0.2997,1.1904
0.3002,1.1904
0.3007,1.1904
0.3013,1.1904
0.3018,1.1853
0.3023,1.1904
0.3028,1.1904
0.3033,1.1904
0.3039,1.1904
0.3044,1.1954
