Время[c],Напряжение[В]
0.0000,1.3871
0.0006,1.3821
0.0011,1.3821
0.0016,1.3871
0.0021,1.3871
0.0027,1.3871
0.0032,1.3871
0.0037,1.3871
0.0042,1.3821
0.0048,1.3871
0.0053,1.3871
0.0058,1.3871
0.0063,1.3871
0.0068,1.3821
0.0074,1.3821
0.0079,1.3821
0.0084,1.3821
0.0089,1.3821
0.0094,1.3871
0.0100,1.3821
0.0105,1.3871
0.0111,1.3871
0.0116,1.3871
0.0122,1.3821
0.0127,1.3871
0.0133,1.3871
0.0138,1.3871
0.0144,1.3871
0.0149,1.3821
0.0154,1.3821
0.0160,1.3821
0.0165,1.3871
0.0170,1.3871
0.0176,1.3821
0.0181,1.3871
0.0187,1.3871
0.0192,1.3871
0.0197,1.3871
0.0203,1.3821
0.0208,1.3871
0.0213,1.3821
0.0220,1.3871
0.0226,1.3770
0.0231,1.3821
0.0237,1.3871
0.0242,1.3871
0.0248,1.3871
0.0253,1.3871
0.0259,1.3871
0.0264,1.3871
0.0270,1.3821
0.0275,1.3821
0.0280,1.3821
0.0285,1.3821
0.0291,1.3871
0.0296,1.3871
0.0301,1.3871
0.0306,1.3821
0.0311,1.3821
0.0317,1.3821
0.0322,1.3821
0.0327,1.3821
0.0332,1.3871
0.0338,1.3821
0.0343,1.3821
0.0349,1.3871
0.0354,1.3871
0.0359,1.3821
0.0364,1.3821
0.0369,1.3821
0.0375,1.3821
0.0380,1.3821
0.0385,1.3821
0.0390,1.3821
0.0396,1.3871
0.0401,1.3871
0.0406,1.3770
0.0411,1.3871
0.0416,1.3871
0.0422,1.3871
0.0427,1.3821
0.0432,1.3821
0.0437,1.3821
0.0443,1.3871
0.0448,1.3871
0.0453,1.3821
0.0458,1.3821
0.0463,1.3821
0.0469,1.3821
0.0474,1.3821
0.0479,1.3821
0.0484,1.3821
0.0490,1.3871
0.0495,1.3871
0.0500,1.3770
0.0506,1.3821
0.0511,1.3821
0.0516,1.3871
0.0521,1.3821
0.0526,1.3770
0.0532,1.3821
0.0537,1.3871
0.0542,1.3821
0.0547,1.3821
0.0553,1.3821
0.0558,1.3821
0.0563,1.3821
0.0568,1.3871
0.0574,1.3871
0.0579,1.3871
0.0584,1.3821
0.0589,1.3871
0.0595,1.3821
0.0600,1.3770
0.0605,1.3821
0.0610,1.3770
0.0615,1.3871
0.0621,1.3871
0.0626,1.3871
0.0631,1.3770
0.0636,1.3821
0.0642,1.3821
0.0647,1.3821
0.0652,1.3821
0.0657,1.3821
0.0662,1.3821
0.0668,1.3821
0.0673,1.3770
0.0678,1.3871
0.0683,1.3821
0.0689,1.3770
0.0694,1.3871
0.0699,1.3871
0.0704,1.3871
0.0710,1.3821
0.0715,1.3821
0.0720,1.3821
0.0725,1.3821
0.0730,1.3871
0.0736,1.3871
0.0741,1.3821
0.0746,1.3871
0.0751,1.3770
0.0757,1.3821
0.0762,1.3871
0.0767,1.3871
0.0772,1.3821
0.0777,1.3871
0.0783,1.3821
0.0788,1.3871
0.0793,1.3821
0.0798,1.3821
0.0804,1.3821
0.0809,1.3821
0.0814,1.3821
0.0819,1.3821
0.0824,1.3821
0.0830,1.3821
0.0835,1.3821
0.0840,1.3821
0.0845,1.3821
0.0851,1.3821
0.0856,1.3821
0.0861,1.3770
0.0866,1.3821
0.0872,1.3871
0.0877,1.3821
0.0882,1.3821
0.0887,1.3821
0.0893,1.3821
0.0898,1.3821
0.0903,1.3871
0.0908,1.3821
0.0913,1.3821
0.0919,1.3821
0.0924,1.3821
0.0929,1.3770
0.0934,1.3821
0.0940,1.3821
0.0945,1.3821
0.0950,1.3821
0.0955,1.3871
0.0961,1.3821
0.0966,1.3871
0.0971,1.3821
0.0976,1.3821
0.0981,1.3871
0.0987,1.3871
0.0992,1.3821
0.0997,1.3821
0.1002,1.3821
0.1008,1.3871
0.1013,1.3821
0.1018,1.3821
0.1023,1.3871
0.1029,1.3821
0.1034,1.3871
0.1039,1.3821
0.1044,1.3871
0.1049,1.3871
0.1055,1.3871
0.1060,1.3871
0.1065,1.3871
0.1070,1.3871
0.1076,1.3871
0.1081,1.3821
0.1086,1.3821
0.1091,1.3821
0.1097,1.3871
0.1102,1.3871
0.1107,1.3871
0.1112,1.3871
0.1118,1.3871
0.1123,1.3871
0.1128,1.3871
0.1133,1.3921
0.1138,1.3871
0.1144,1.3871
0.1149,1.3871
0.1154,1.3821
0.1159,1.3821
0.1165,1.3871
