Время[c],Напряжение[В]
0.0000,1.4073
0.0006,1.4073
0.0011,1.4073
0.0016,1.4073
0.0021,1.4073
0.0027,1.4073
0.0032,1.4073
0.0037,1.4073
0.0042,1.4073
0.0047,1.4073
0.0053,1.4073
0.0058,1.4123
0.0063,1.4073
0.0068,1.4073
0.0074,1.4073
0.0079,1.4073
0.0084,1.4073
0.0089,1.4073
0.0094,1.4073
0.0100,1.4123
0.0105,1.4073
0.0110,1.4073
0.0115,1.4073
0.0121,1.4022
0.0126,1.4073
0.0131,1.4022
0.0136,1.4073
0.0141,1.4073
0.0147,1.4022
0.0152,1.4073
0.0157,1.4073
0.0162,1.4073
0.0168,1.4073
0.0173,1.4073
0.0178,1.4123
0.0183,1.4073
0.0188,1.4073
0.0194,1.4073
0.0199,1.4073
0.0204,1.4123
0.0209,1.4073
0.0215,1.4022
0.0220,1.4073
0.0225,1.4073
0.0230,1.4022
0.0235,1.4073
0.0241,1.4022
0.0246,1.4073
0.0251,1.4073
0.0257,1.4123
0.0262,1.4073
0.0267,1.4022
0.0272,1.4073
0.0278,1.4073
0.0283,1.4123
0.0288,1.4073
0.0293,1.4073
0.0298,1.4073
0.0304,1.4073
0.0309,1.4073
0.0314,1.4073
0.0319,1.4073
0.0325,1.4073
0.0330,1.4073
0.0335,1.4073
0.0340,1.4073
0.0346,1.4073
0.0351,1.4022
0.0357,1.4073
0.0362,1.4022
0.0368,1.4073
0.0373,1.4123
0.0379,1.4022
0.0384,1.4073
0.0390,1.4073
0.0395,1.4073
0.0400,1.4073
0.0405,1.4073
0.0411,1.4123
0.0416,1.4073
0.0421,1.4073
0.0426,1.4073
0.0432,1.4123
0.0437,1.4073
0.0443,1.4073
0.0448,1.4073
0.0453,1.4073
0.0459,1.4073
0.0464,1.4073
0.0470,1.4022
0.0475,1.4123
0.0481,1.4073
0.0487,1.4022
0.0493,1.4073
0.0498,1.4073
0.0503,1.4073
0.0509,1.4073
0.0514,1.4022
0.0519,1.4022
0.0524,1.4022
0.0530,1.4022
0.0535,1.4022
0.0540,1.4073
0.0545,1.4073
0.0551,1.4073
0.0556,1.4073
0.0561,1.4073
0.0566,1.4073
0.0571,1.4073
0.0577,1.4022
0.0582,1.4073
0.0587,1.4073
0.0592,1.4073
0.0597,1.4022
0.0603,1.4022
0.0608,1.4073
0.0613,1.4073
0.0618,1.4073
0.0624,1.4073
0.0629,1.4073
0.0634,1.4073
0.0639,1.4073
0.0645,1.4073
0.0650,1.4073
0.0655,1.4022
0.0660,1.4073
0.0666,1.4022
0.0671,1.4073
0.0676,1.4022
0.0681,1.4073
0.0687,1.4073
0.0692,1.4073
0.0697,1.4073
0.0702,1.4073
0.0708,1.4022
0.0713,1.4073
0.0718,1.4022
0.0724,1.4073
0.0729,1.4073
0.0734,1.4073
0.0739,1.4073
0.0745,1.4073
0.0750,1.4073
0.0755,1.4073
0.0760,1.4073
0.0766,1.4022
0.0771,1.4073
0.0776,1.4022
0.0781,1.4022
0.0787,1.4073
0.0792,1.4073
0.0797,1.4022
0.0802,1.4022
0.0808,1.4022
0.0813,1.4022
0.0818,1.4022
0.0823,1.4022
0.0828,1.4073
0.0834,1.4073
0.0839,1.4073
0.0844,1.4022
0.0849,1.4022
0.0855,1.4022
0.0860,1.4073
0.0865,1.4022
0.0870,1.4073
0.0875,1.4073
0.0881,1.4022
0.0886,1.4022
0.0891,1.4022
0.0896,1.3972
0.0902,1.4022
0.0907,1.4022
0.0912,1.4073
0.0917,1.3972
0.0923,1.4022
0.0928,1.4073
0.0933,1.4022
0.0938,1.4073
0.0943,1.4073
0.0949,1.4022
0.0954,1.4022
0.0959,1.4022
0.0964,1.4073
0.0970,1.4022
0.0975,1.4022
0.0980,1.4073
0.0985,1.4073
0.0991,1.4022
0.0996,1.4022
0.1001,1.3972
0.1006,1.4022
0.1012,1.4022
0.1017,1.3972
0.1022,1.4022
0.1027,1.4073
0.1032,1.4022
0.1038,1.3972
0.1043,1.4022
0.1048,1.4022
0.1053,1.4022
0.1058,1.4022
0.1064,1.3972
0.1069,1.4022
0.1074,1.4022
0.1079,1.3972
0.1085,1.3972
0.1090,1.4022
0.1095,1.4073
0.1100,1.4022
0.1105,1.4022
0.1111,1.4073
0.1116,1.4022
0.1121,1.4022
0.1126,1.4022
0.1132,1.4022
0.1137,1.4022
0.1142,1.4022
0.1147,1.4022
0.1153,1.3972
0.1158,1.4022
0.1163,1.4022
0.1168,1.4022
0.1173,1.4022
0.1179,1.3972
0.1184,1.4022
0.1189,1.4022
0.1194,1.4022
0.1200,1.4022
0.1205,1.4022
0.1210,1.4022
0.1215,1.4022
0.1221,1.4022
0.1226,1.4073
0.1231,1.3972
0.1236,1.4022
0.1241,1.3972
0.1247,1.3972
0.1252,1.3972
0.1257,1.4022
0.1262,1.4022
0.1268,1.4022
0.1273,1.3972
0.1278,1.4022
0.1283,1.4022
0.1288,1.3972
0.1294,1.4022
0.1299,1.4022
0.1304,1.4022
0.1309,1.4022
0.1315,1.3972
0.1320,1.3972
0.1325,1.3972
0.1330,1.3972
0.1335,1.4022
0.1341,1.4022
0.1346,1.4022
0.1351,1.3972
0.1356,1.3972
0.1361,1.3972
0.1367,1.4022
0.1372,1.4022
0.1377,1.3972
0.1382,1.3972
0.1388,1.3972
0.1393,1.3972
0.1398,1.4022
0.1403,1.4022
0.1408,1.3972
0.1414,1.3972
0.1419,1.4022
0.1424,1.3921
0.1429,1.4022
0.1435,1.4022
0.1440,1.4022
0.1445,1.4022
0.1450,1.4022
0.1456,1.3972
0.1461,1.3972
0.1466,1.4022
0.1471,1.3972
0.1477,1.3921
0.1482,1.4022
0.1487,1.4022
0.1492,1.3972
0.1497,1.3972
0.1503,1.3972
0.1508,1.4022
0.1513,1.3972
0.1518,1.4022
0.1524,1.4022
0.1529,1.4022
0.1534,1.3972
0.1539,1.3972
0.1545,1.3921
0.1550,1.3921
0.1555,1.3921
0.1560,1.3972
0.1565,1.3921
0.1571,1.3972
0.1576,1.4022
0.1581,1.4022
0.1586,1.4022
0.1592,1.3972
0.1597,1.3972
0.1602,1.3972
0.1607,1.3972
0.1612,1.3921
0.1618,1.4022
0.1623,1.3972
0.1628,1.3921
0.1633,1.3972
0.1639,1.3972
0.1644,1.3972
0.1649,1.3972
0.1654,1.3972
0.1660,1.3972
0.1665,1.4022
0.1670,1.4022
0.1675,1.3972
0.1680,1.3972
0.1686,1.3921
0.1691,1.3972
0.1696,1.3972
0.1701,1.3972
0.1707,1.4022
0.1712,1.4022
0.1717,1.3972
0.1722,1.3972
0.1728,1.3972
0.1733,1.3972
0.1738,1.3972
0.1743,1.3972
0.1749,1.3972
0.1754,1.3972
0.1759,1.3972
0.1764,1.3972
0.1769,1.3972
0.1775,1.4022
0.1780,1.4022
0.1785,1.4022
0.1790,1.3972
0.1796,1.3921
0.1801,1.3972
0.1806,1.3972
0.1811,1.3972
0.1817,1.3972
0.1822,1.3972
0.1827,1.3972
0.1832,1.3972
0.1837,1.3972
0.1843,1.3972
0.1848,1.3972
0.1853,1.3972
0.1858,1.4022
0.1864,1.3972
0.1869,1.4022
0.1874,1.4022
0.1879,1.3972
0.1885,1.3972
0.1890,1.3972
0.1895,1.3972
0.1900,1.3972
0.1906,1.3972
0.1911,1.4022
0.1916,1.3972
0.1921,1.3972
0.1926,1.3972
0.1932,1.3972
0.1937,1.3972
0.1942,1.4022
0.1947,1.3972
0.1953,1.4022
0.1958,1.4022
0.1963,1.3972
0.1968,1.3972
0.1974,1.3972
0.1979,1.3972
0.1984,1.4022
0.1989,1.3972
0.1994,1.4022
0.2000,1.3972
0.2005,1.3972
0.2010,1.3921
0.2015,1.3972
0.2021,1.3921
0.2026,1.3972
0.2031,1.3972
0.2036,1.3972
0.2042,1.4022
0.2047,1.3972
0.2052,1.3972
0.2057,1.4022
0.2062,1.3972
0.2068,1.3972
0.2073,1.3972
0.2078,1.3972
0.2083,1.3972
0.2089,1.3972
0.2094,1.3972
0.2099,1.4022
0.2104,1.3921
0.2110,1.3972
0.2115,1.3921
0.2120,1.3972
0.2125,1.3972
0.2131,1.3972
0.2136,1.3972
0.2141,1.3972
0.2146,1.3972
0.2152,1.3972
0.2157,1.3921
0.2162,1.3972
0.2167,1.3972
0.2172,1.3972
0.2178,1.4022
0.2183,1.3972
0.2188,1.3972
0.2193,1.3972
0.2199,1.3972
0.2204,1.4022
0.2209,1.4022
0.2214,1.3972
0.2220,1.3972
0.2225,1.3972
0.2230,1.3972
0.2235,1.3972
0.2240,1.4022
0.2246,1.3972
0.2251,1.4022
0.2256,1.3972
0.2261,1.3972
0.2267,1.3972
0.2272,1.4022
0.2277,1.3972
0.2282,1.3972
0.2288,1.3972
0.2293,1.3972
0.2298,1.3972
0.2303,1.4022
0.2309,1.3972
0.2314,1.4022
0.2319,1.3921
0.2324,1.3972
0.2329,1.3972
0.2335,1.4022
0.2340,1.3972
0.2345,1.3972
0.2350,1.3921
0.2356,1.3972
0.2361,1.4022
0.2366,1.3972
0.2371,1.4022
0.2377,1.4022
0.2382,1.3972
0.2387,1.3972
0.2392,1.4022
0.2397,1.4022
0.2403,1.3972
0.2408,1.4022
0.2413,1.3921
0.2418,1.3972
0.2424,1.3972
0.2429,1.4022
0.2435,1.3972
0.2440,1.3921
0.2445,1.3921
0.2450,1.3972
0.2456,1.3972
0.2461,1.3972
0.2466,1.3921
0.2472,1.3972
0.2477,1.3972
0.2482,1.3972
0.2488,1.3972
0.2493,1.3972
0.2498,1.3972
0.2504,1.3972
0.2509,1.3921
0.2514,1.3972
0.2520,1.3972
0.2525,1.3972
0.2530,1.3972
0.2536,1.3921
0.2541,1.3972
0.2547,1.3972
0.2552,1.3972
0.2557,1.3972
0.2562,1.3972
0.2568,1.3972
0.2573,1.3871
0.2578,1.3972
0.2583,1.3972
0.2589,1.3972
0.2594,1.3921
0.2599,1.3972
0.2604,1.3972
0.2610,1.3921
0.2615,1.4022
0.2620,1.3972
0.2625,1.3972
0.2631,1.3972
0.2636,1.3972
0.2641,1.3921
0.2646,1.3972
0.2651,1.3972
0.2657,1.3972
0.2662,1.4022
0.2667,1.3972
0.2672,1.3972
0.2677,1.3972
0.2683,1.3921
0.2688,1.4022
0.2693,1.3972
0.2698,1.3921
0.2704,1.3972
0.2709,1.3972
0.2714,1.3921
0.2719,1.3921
0.2725,1.3972
0.2730,1.3972
0.2735,1.3972
0.2740,1.3972
0.2745,1.3972
0.2751,1.3972
0.2756,1.3972
0.2761,1.4022
0.2766,1.3972
0.2772,1.3921
0.2777,1.3972
0.2782,1.3972
0.2787,1.3972
0.2793,1.3972
0.2798,1.3972
0.2803,1.3972
0.2808,1.3972
0.2814,1.3972
0.2819,1.3921
0.2824,1.3972
0.2829,1.3972
0.2834,1.3972
0.2840,1.3972
0.2845,1.3972
0.2850,1.3972
0.2855,1.3972
0.2861,1.3972
0.2866,1.3921
0.2871,1.3972
0.2876,1.3972
0.2881,1.3972
0.2887,1.3921
0.2892,1.3921
0.2897,1.3972
0.2902,1.3972
0.2908,1.3972
0.2913,1.3921
0.2918,1.3921
0.2923,1.3972
0.2929,1.3972
0.2934,1.3921
0.2939,1.3921
0.2944,1.3972
0.2950,1.3921
0.2955,1.3972
0.2960,1.3972
0.2965,1.3972
0.2971,1.3921
0.2976,1.3921
0.2981,1.3921
0.2986,1.3921
0.2992,1.3921
0.2997,1.3972
0.3002,1.3921
0.3007,1.3921
0.3012,1.3921
0.3018,1.3871
0.3023,1.3972
0.3028,1.3972
0.3033,1.3972
0.3039,1.3972
0.3044,1.3921
0.3049,1.3921
0.3054,1.3972
0.3060,1.3972
0.3065,1.3972
0.3070,1.3972
0.3075,1.3972
0.3081,1.3972
0.3086,1.3921
0.3091,1.3921
0.3096,1.3921
0.3102,1.3921
0.3107,1.3921
0.3112,1.3972
0.3117,1.3921
0.3122,1.3921
0.3128,1.3972
0.3133,1.3972
0.3138,1.3972
0.3143,1.3921
0.3149,1.3921
0.3154,1.3921
0.3159,1.3972
0.3164,1.3921
0.3169,1.3871
0.3175,1.3972
0.3180,1.3921
0.3185,1.3972
0.3190,1.3921
0.3195,1.3921
0.3201,1.3921
0.3206,1.3972
0.3211,1.3921
0.3216,1.3921
0.3222,1.3921
0.3227,1.3921
0.3232,1.3921
0.3237,1.3972
0.3243,1.3921
0.3248,1.3972
0.3253,1.3972
0.3258,1.3921
0.3264,1.3921
0.3269,1.3921
0.3274,1.3972
0.3279,1.3921
0.3284,1.3921
0.3290,1.3921
0.3295,1.3921
0.3300,1.3921
0.3305,1.3921
0.3311,1.3972
0.3316,1.3921
0.3321,1.3972
0.3326,1.3921
0.3332,1.3921
0.3337,1.3921
0.3342,1.3972
0.3347,1.3921
0.3352,1.3921
0.3358,1.3921
0.3363,1.3972
0.3368,1.3972
0.3373,1.3972
0.3379,1.3921
0.3384,1.3871
0.3389,1.3921
0.3394,1.3921
0.3399,1.3921
0.3405,1.3972
0.3410,1.3921
0.3415,1.3921
0.3421,1.3921
0.3426,1.3921
0.3431,1.3921
0.3436,1.3921
0.3441,1.3921
0.3447,1.3972
0.3452,1.3921
0.3457,1.3921
0.3462,1.3921
0.3468,1.3921
0.3473,1.3871
0.3478,1.3972
0.3483,1.3921
0.3488,1.3921
0.3494,1.3921
0.3499,1.3972
0.3504,1.3921
0.3509,1.3921
0.3515,1.3921
0.3520,1.3921
0.3525,1.3921
0.3530,1.3921
0.3535,1.3921
0.3541,1.3972
0.3546,1.3972
0.3551,1.3921
0.3556,1.3921
0.3562,1.3921
0.3567,1.3921
0.3572,1.3871
0.3577,1.3871
0.3583,1.3871
0.3588,1.3921
0.3593,1.3921
0.3598,1.3921
0.3604,1.3921
0.3609,1.3921
0.3614,1.3871
0.3619,1.3921
0.3624,1.3921
0.3630,1.3871
0.3635,1.3871
0.3640,1.3921
0.3645,1.3921
0.3651,1.3921
0.3656,1.3871
0.3661,1.3921
0.3666,1.3871
0.3671,1.3921
0.3677,1.3921
0.3682,1.3921
0.3687,1.3921
0.3692,1.3871
0.3697,1.3921
0.3703,1.3921
0.3708,1.3871
0.3713,1.3921
0.3718,1.3972
0.3724,1.3921
0.3729,1.3921
0.3734,1.3921
0.3739,1.3921
0.3745,1.3921
0.3750,1.3871
0.3755,1.3821
0.3760,1.3871
0.3765,1.3871
0.3771,1.3921
0.3776,1.3921
0.3781,1.3871
0.3786,1.3871
0.3792,1.3921
0.3797,1.3921
0.3802,1.3972
0.3807,1.3871
0.3813,1.3871
0.3818,1.3921
0.3823,1.3921
0.3828,1.3871
0.3833,1.3921
0.3839,1.3871
0.3844,1.3871
0.3849,1.3921
0.3854,1.3921
0.3859,1.3921
0.3865,1.3921
0.3870,1.3921
0.3875,1.3921
0.3880,1.3921
0.3886,1.3921
0.3891,1.3921
0.3896,1.3871
0.3901,1.3921
0.3906,1.3921
0.3912,1.3921
0.3917,1.3921
0.3922,1.3921
0.3927,1.3921
0.3933,1.3921
0.3938,1.3821
0.3943,1.3921
0.3948,1.3871
0.3954,1.3921
0.3959,1.3871
0.3964,1.3871
0.3969,1.3921
0.3974,1.3871
0.3980,1.3871
0.3985,1.3921
0.3990,1.3821
0.3995,1.3921
0.4001,1.3921
0.4006,1.3871
0.4011,1.3871
0.4016,1.3871
0.4022,1.3921
0.4027,1.3921
0.4032,1.3871
0.4037,1.3871
0.4042,1.3921
0.4048,1.3921
0.4053,1.3921
0.4058,1.3871
0.4063,1.3871
0.4069,1.3871
0.4074,1.3921
0.4079,1.3871
0.4084,1.3871
0.4090,1.3871
0.4095,1.3871
0.4100,1.3921
0.4105,1.3921
0.4111,1.3871
0.4116,1.3871
0.4121,1.3871
0.4126,1.3821
0.4131,1.3821
0.4137,1.3921
0.4142,1.3871
0.4147,1.3921
0.4152,1.3921
0.4158,1.3871
0.4163,1.3921
0.4168,1.3921
0.4173,1.3871
0.4179,1.3921
0.4184,1.3871
0.4189,1.3921
0.4194,1.3821
0.4200,1.3821
0.4205,1.3871
0.4210,1.3921
0.4215,1.3871
0.4220,1.3871
0.4226,1.3871
0.4231,1.3921
0.4236,1.3871
0.4241,1.3871
0.4247,1.3871
0.4252,1.3871
0.4257,1.3871
0.4262,1.3921
0.4268,1.3821
0.4273,1.3871
0.4278,1.3871
0.4283,1.3871
0.4288,1.3921
0.4294,1.3871
0.4299,1.3821
0.4304,1.3871
0.4309,1.3871
0.4315,1.3871
0.4320,1.3871
0.4325,1.3871
0.4330,1.3871
0.4336,1.3871
0.4341,1.3871
0.4346,1.3871
0.4351,1.3871
0.4356,1.3921
0.4362,1.3871
0.4368,1.3871
0.4373,1.3821
0.4378,1.3871
0.4384,1.3871
0.4390,1.3871
0.4395,1.3871
0.4400,1.3871
0.4406,1.3821
0.4411,1.3871
0.4417,1.3871
0.4422,1.3921
0.4427,1.3871
0.4433,1.3871
0.4438,1.3871
0.4443,1.3821
0.4449,1.3871
0.4454,1.3871
0.4460,1.3871
0.4465,1.3871
0.4470,1.3871
0.4476,1.3871
0.4481,1.3871
0.4487,1.3871
0.4492,1.3871
0.4497,1.3921
0.4503,1.3871
0.4508,1.3871
0.4514,1.3871
0.4519,1.3821
0.4524,1.3871
0.4530,1.3871
0.4535,1.3871
0.4540,1.3871
0.4546,1.3871
0.4551,1.3871
0.4557,1.3871
0.4562,1.3871
0.4567,1.3821
0.4573,1.3871
0.4578,1.3871
0.4584,1.3871
0.4589,1.3871
0.4594,1.3871
0.4600,1.3821
0.4605,1.3921
0.4611,1.3871
0.4616,1.3871
0.4621,1.3871
0.4627,1.3821
0.4632,1.3871
0.4638,1.3871
0.4643,1.3821
0.4648,1.3821
0.4654,1.3871
0.4659,1.3871
0.4664,1.3871
0.4670,1.3871
0.4675,1.3871
0.4681,1.3821
0.4686,1.3871
0.4691,1.3871
0.4697,1.3871
0.4702,1.3871
0.4708,1.3871
0.4713,1.3821
0.4718,1.3821
0.4724,1.3821
0.4729,1.3871
0.4735,1.3921
0.4740,1.3871
0.4745,1.3821
0.4751,1.3871
0.4756,1.3871
0.4762,1.3821
0.4767,1.3871
0.4772,1.3871
0.4778,1.3871
0.4783,1.3871
0.4788,1.3871
0.4794,1.3821
0.4799,1.3921
0.4805,1.3871
0.4810,1.3871
0.4815,1.3871
0.4821,1.3871
0.4826,1.3871
0.4832,1.3871
0.4837,1.3871
0.4842,1.3821
0.4848,1.3871
0.4853,1.3821
0.4859,1.3871
0.4864,1.3871
0.4869,1.3871
0.4875,1.3871
0.4880,1.3871
0.4885,1.3871
0.4891,1.3871
0.4896,1.3821
0.4902,1.3871
0.4907,1.3871
0.4912,1.3821
0.4918,1.3921
0.4923,1.3871
0.4929,1.3871
0.4934,1.3871
0.4939,1.3871
0.4945,1.3871
0.4950,1.3821
0.4955,1.3871
0.4961,1.3821
0.4966,1.3871
0.4972,1.3871
0.4977,1.3871
0.4982,1.3871
0.4988,1.3871
0.4993,1.3871
0.4999,1.3821
0.5004,1.3921
0.5009,1.3871
0.5015,1.3871
0.5020,1.3871
0.5026,1.3871
0.5031,1.3871
0.5036,1.3871
0.5042,1.3871
0.5047,1.3821
0.5052,1.3871
0.5058,1.3871
0.5063,1.3821
0.5069,1.3871
0.5074,1.3871
0.5079,1.3821
0.5085,1.3871
0.5090,1.3871
0.5096,1.3871
0.5101,1.3871
0.5106,1.3821
0.5112,1.3871
0.5117,1.3821
0.5122,1.3871
0.5128,1.3871
0.5133,1.3871
0.5139,1.3871
0.5144,1.3821
0.5149,1.3821
0.5155,1.3871
0.5160,1.3871
0.5166,1.3871
0.5171,1.3871
0.5176,1.3821
0.5182,1.3871
0.5187,1.3871
0.5192,1.3821
0.5198,1.3821
0.5203,1.3871
0.5209,1.3871
0.5214,1.3921
0.5219,1.3821
0.5225,1.3871
0.5230,1.3821
0.5236,1.3871
0.5241,1.3821
0.5246,1.3871
0.5252,1.3871
0.5257,1.3871
0.5263,1.3821
