Время[c],Напряжение[В]
0.0000,2.5926
0.0006,2.5876
0.0012,2.5926
0.0017,2.5876
0.0024,2.5926
0.0030,2.5825
0.0035,2.5926
0.0041,2.5926
0.0046,2.5876
0.0051,2.5876
0.0058,2.5926
0.0064,2.5977
0.0069,2.5926
0.0074,2.5825
0.0080,2.5977
0.0085,2.5977
0.0090,2.5926
0.0096,2.5977
0.0101,2.5977
0.0106,2.5926
0.0111,2.5876
0.0117,2.5825
0.0122,2.5825
0.0127,2.5926
0.0133,2.5825
0.0146,2.5977
0.0152,2.5926
0.0158,2.5825
0.0164,2.5926
0.0170,2.5876
0.0176,2.5977
0.0182,2.5926
0.0188,2.5926
0.0195,2.5926
0.0201,2.5977
0.0208,2.5876
0.0214,2.5926
0.0220,2.5977
0.0226,2.5926
0.0231,2.5977
0.0237,2.5977
0.0243,2.5926
0.0248,2.5926
0.0254,2.5876
0.0260,2.5825
0.0266,2.5926
0.0272,2.5926
0.0277,2.5977
0.0283,2.5977
0.0289,2.5977
0.0295,2.5926
0.0300,2.5977
0.0306,2.5926
0.0312,2.5876
0.0317,2.5825
0.0323,2.5926
0.0328,2.5977
0.0334,2.5926
0.0339,2.5926
0.0345,2.5977
0.0350,2.5876
0.0357,2.5926
0.0362,2.5825
0.0368,2.5926
0.0373,2.5926
0.0379,2.5977
0.0384,2.5977
0.0390,2.5926
0.0395,2.5977
0.0400,2.5876
0.0405,2.5876
0.0411,2.5825
0.0416,2.5926
0.0421,2.5926
0.0427,2.5876
0.0433,2.5926
0.0439,2.5977
0.0445,2.5977
0.0451,2.5876
0.0457,2.5926
0.0463,2.5876
0.0469,2.5926
0.0474,2.5926
0.0480,2.5926
0.0485,2.5926
0.0492,2.5926
0.0498,2.5825
0.0504,2.5977
0.0509,2.5825
0.0515,2.5876
0.0521,2.5926
0.0527,2.5977
0.0533,2.5977
0.0538,2.5926
0.0544,2.5876
0.0550,2.5876
0.0555,2.5977
0.0561,2.5926
0.0567,2.5876
0.0573,2.5926
0.0578,2.5876
0.0583,2.5926
0.0588,2.5926
0.0594,2.5876
0.0599,2.5876
0.0604,2.5825
0.0609,2.5926
0.0615,2.5926
0.0620,2.5876
0.0625,2.5977
0.0630,2.5977
0.0636,2.5926
0.0641,2.5977
0.0646,2.5876
0.0651,2.5876
0.0656,2.5977
0.0662,2.5825
0.0667,2.5876
0.0672,2.5876
0.0677,2.5926
0.0683,2.5825
0.0688,2.5926
0.0694,2.5825
0.0700,2.5876
0.0706,2.5926
0.0713,2.5876
0.0721,2.5977
0.0728,2.5926
0.0733,2.5926
0.0739,2.5876
0.0745,2.5926
0.0750,2.5825
0.0756,2.5926
0.0762,2.5876
0.0767,2.5876
0.0773,2.5876
0.0778,2.5876
0.0783,2.5825
0.0788,2.5825
0.0794,2.5926
0.0799,2.5926
0.0804,2.5926
0.0810,2.5926
0.0815,2.5825
0.0820,2.5876
0.0825,2.5926
0.0831,2.5876
0.0836,2.5876
0.0841,2.5926
0.0847,2.5977
0.0852,2.5977
0.0857,2.5926
0.0863,2.5926
0.0868,2.5977
0.0874,2.5926
0.0879,2.5876
0.0884,2.5926
0.0889,2.5977
0.0895,2.5977
0.0900,2.5977
0.0905,2.5926
0.0910,2.5825
0.0916,2.5977
0.0921,2.5926
0.0926,2.5926
0.0931,2.5977
0.0937,2.5926
0.0942,2.5926
0.0947,2.5977
0.0953,2.5926
0.0958,2.5926
0.0963,2.5926
0.0969,2.5926
0.0974,2.5926
0.0979,2.5825
0.0985,2.5926
0.0990,2.5926
0.0995,2.5926
0.1001,2.5926
0.1006,2.5926
0.1011,2.5926
0.1016,2.5825
0.1022,2.5876
0.1027,2.5977
0.1033,2.5977
0.1038,2.5876
0.1044,2.5977
0.1049,2.5926
0.1054,2.5977
0.1059,2.5977
0.1065,2.5926
0.1070,2.5926
0.1075,2.5926
0.1081,2.5926
0.1086,2.5926
0.1091,2.5926
